BC_ID BC_Counts Mut_ID
73463 259 74
4026 2808 48
88718 1512 763
131111 2155 534
23446 1 651
117673 2864 522
23444 34 742
13022 2 622
5982 1828 775
10891 3652 799
55299 4 434
22262 828 20
24714 1 985
32837 2 628
294926 1 647
16677 1 534
52269 7 651
96555 3 757
25069 3148 802
130134 3 48
74359 2 729
127490 30 856
60353 271 981
223324 3 1002
139347 2598 896
130468 1 366
6794 2650 892
239041 5285 85
74214 1 932
135031 84 119
56129 1 47
294 30 149
69887 2 362
100704 1 802
17650 43 954
63735 1885 390
117526 14 684
4657 6851 423
55835 1 159
198837 1 112
43981 1 935
279 940 109
61994 1 883
56830 1 866
17387 1 309
22484 1231 453
140326 1 252
117092 1 186
43698 1 333
158540 711 132
12011 394 718
312970 4615 456
16385 76 439
69721 2 411
81620 40 349
64678 6 148
17032 2295 226
122969 4 326
76127 1 233
60093 2 215
46793 216 1014
8094 1 35
102 182 488
49561 2130 566
141512 1 639
56407 566 625
16819 286 55
134188 1 623
2510 1 884
185917 45 423
85186 1404 1004
102448 2 59
9411 34 500
179796 2 202
21923 1 970
98280 2405 985
11610 1 353
11611 2406 159
45444 756 874
10633 1 695
20521 1148 898
204061 289 456
125409 1 898
33474 2275 742
18456 1 805
41343 913 757
14137 1 976
182063 7806 235
24082 522 97
17721 2604 80
17722 1 767
139936 3 162
54952 7912 381
116124 39 372
142027 62 1007
54955 757 159
8949 2225 718
3510 2500 628
53288 1 243
2689 172 605
84058 6387 9
36027 80 717
102158 67 353
26976 125 958
203384 31 767
9744 1 704
294034 449 564
71572 1369 423
44290 2 512
20415 1922 47
95 1927 710
219159 1 926
1627 215 192
30414 2 302
63202 1 704
193917 1 48
33679 59 115
54391 10 926
242849 1 74
8832 2 449
2860 1 815
33853 101 48
59927 2621 113
132348 1760 903
58455 2 853
80806 1 829
28560 1 7
5409 26 813
59108 2124 412
9226 1 802
24235 1 1012
52618 1 1004
29561 4245 423
37178 5993 692
147277 3396 439
37776 2 446
115335 2 829
37957 391 213
37959 703 729
1756 609 769
188509 1 6
1175 11 97
15444 2 405
8167 7378 153
8164 2 445
76574 18 75
76576 37 302
18740 1 52
18148 2858 1002
118898 1845 829
5537 1693 32
76084 1524 670
1287 4 546
225276 52 596
110836 1 190
11167 1 247
86742 3 613
161630 1 898
682 407 474
14920 1 715
189219 686 390
229429 2162 138
8386 3123 536
73651 32 245
184539 5 903
40412 1 524
8545 355 805
15282 1983 960
4389 904 534
55115 2889 647
87336 7 149
95948 41 278
6579 50 401
406 4 376
73721 54 1014
145925 195 213
63864 4 859
25942 2192 403
130477 1 476
28387 4 133
3830 12 906
3833 957 34
214400 4 965
145748 1146 330
72413 10 233
4036 1869 8
22677 1 975
307680 1 173
78843 2 366
28989 44 247
51278 1447 439
93228 2 843
379 1744 111
35846 1 618
91841 4927 639
55025 2056 981
6532 1 964
12355 1 631
181571 1394 50
182591 2695 9
304554 629 819
56220 2 727
70988 1 99
35440 13195 423
130898 2 280
88639 4955 896
112280 2 506
6784 1 623
6786 1 764
10979 898 764
52926 4 367
4723 15 807
31903 1 421
5846 1 830
5844 3 353
21115 3 468
3747 1 520
57261 1588 969
255634 1 1007
55801 1 271
13536 1 962
32006 3 780
182286 4377 476
150764 2091 890
11757 3255 573
64597 88 582
37683 1 597
12000 2773 1012
69748 6433 41
179621 1 412
92008 2 128
205632 79 692
130992 1 88
198789 1 177
9538 1 635
9241 611 111
122602 2 954
40965 1 343
56912 1 449
38423 509 475
17539 1 756
150610 1 235
179 4 482
17999 5 265
80107 75 442
4829 5 547
185671 1 309
72918 255 967
4532 2224 1012
21930 1558 34
42334 1 683
9408 1 228
12136 78 977
140422 2284 412
26032 1 396
10152 1 639
57317 5125 217
311033 4 423
48559 2513 426
10158 1478 395
62479 1 599
54564 2 456
124436 425 520
64334 1 629
313423 1 175
24170 1322 962
22805 1916 886
10395 942 623
81962 3148 700
52741 2 423
46870 49 1012
9620 561 205
37786 12 209
49315 16 149
270 1 806
45783 432 715
9422 1 350
320516 312 517
1603 1 85
2691 330 202
15708 2 807
15709 33 279
54980 77 935
137077 2769 34
54989 4 100
53509 2621 993
20391 1 344
302744 1 258
3231 9306 423
131829 2337 845
1618 3418 639
1965 4 846
268602 1 414
7329 4502 48
1610 1 55
210433 2214 423
8840 6712 195
147993 2 423
41596 432 369
41772 54 393
12957 2769 864
211299 1 34
76364 1 20
68904 1 1009
70906 2 431
20261 81 157
168691 67 205
302243 4099 800
3358 165 912
189957 6 333
58683 663 88
7061 9 975
29808 1 874
29778 3241 766
169616 1995 732
29596 87 326
1143 1838 71
12487 3 519
12485 11772 423
231479 102 745
64991 1 597
37295 1987 729
119329 322 638
30183 3 190
5503 839 381
27607 1 924
1547 1 254
1545 4 97
39586 748 809
34098 1370 639
698 2 376
187640 1853 423
38294 843 445
542 1 726
78127 5 374
233341 1749 773
78123 1 194
66370 2 1000
313378 1 792
31753 1011 506
96652 50 195
145596 1 544
188605 1 177
77562 1062 461
48944 320 292
9987 63 226
15295 2 536
26256 62 613
2290 1 205
61758 5307 177
38365 1 777
16 1 648
192306 5429 717
126670 29 896
151390 2 974
411 2835 296
170259 59 149
114055 2484 956
11568 1 72
43213 1 696
216905 1 624
154709 2 853
3042 748 486
82425 1 757
188286 71 573
66883 2 87
64299 1 486
19179 1 84
35325 257 381
10702 2 993
32813 2099 866
7537 2211 732
7533 1736 439
19350 1 261
16128 1 810
65211 1103 177
60338 20 89
16653 1846 996
387 3963 266
388 1256 26
74037 2 456
110377 823 2
19282 1 430
268505 1 429
69579 2 162
10983 548 772
9965 1 220
224358 574 506
73444 85 412
82737 1 619
9969 1805 119
56857 902 757
104482 1 248
60483 1 390
69352 1 886
3756 4071 227
2191 68 924
195539 1 767
74450 4552 34
224919 400 431
51825 658 742
276862 1 468
12039 1 623
2204 1 947
98597 1385 231
270607 1109 85
12037 187 536
16836 2 512
143988 3811 423
36312 2 83
41917 2 277
102958 999 1003
17524 95 513
121388 1 364
160 266 781
17292 1470 66
80170 409 690
117348 2085 48
45463 6 9
4834 1 627
6358 43 780
7993 1 86
116694 25 896
104132 2 254
11634 1791 112
42495 4019 31
140450 562 70
125888 2 423
97596 1 997
57076 1628 930
22299 2 625
2735 1 733
9342 1 657
5298 1457 968
46840 2 61
10165 2426 1005
11117 1 824
9619 2 1001
60664 6 401
22816 2926 846
83859 1 988
5057 32 381
5050 1 949
1815 2066 962
16906 3352 959
102397 85 605
53975 6 986
36821 2782 646
97463 1583 246
63866 5072 423
134569 1 34
102554 1 234
12219 3036 834
236233 3791 423
26026 1 527
18897 3069 975
15847 1 625
48439 4 391
671 1 162
49431 22 353
164691 1 443
137994 1 111
12123 1 1015
20474 1 421
24172 1 198
37373 1758 866
37372 757 569
43709 1774 979
9295 3 24
247335 2 527
175245 1897 1001
108933 874 248
238189 3 517
800 37 639
36170 1 836
18099 1324 70
12925 843 555
39695 1 364
2847 2606 533
69449 1494 456
3321 3 245
72893 1740 775
63314 2 449
37198 1658 964
268057 1302 539
107603 3 547
38753 4 817
33980 1 333
138312 1 894
33235 1 489
37978 7 84
269053 2 896
8148 574 129
50279 1 1016
40785 65 453
33470 3 85
58548 9468 362
312352 2207 171
77915 1 894
28341 37 226
50270 5025 819
51 2 993
53 964 340
30341 1177 248
15592 3 746
15595 2 617
111035 721 864
31210 2165 339
91190 1888 40
47522 4333 423
132784 46 979
67412 2 522
234356 1 343
47658 2 85
17853 1 19
48391 55 71
5606 1 111
5600 142 906
48938 1 804
15028 1 343
91225 106 202
1902 6 421
188562 1 916
15168 872 790
421 3 509
72026 1 72
1395 107 52
16998 1 47
151360 456 767
23499 1 239
32489 649 705
74734 2095 718
3451 1 481
23257 535 627
52838 9 898
74685 1 60
11656 1 935
22384 1923 764
60928 1 313
6426 3789 802
4298 1 951
294914 1 12
93756 1 931
6428 684 4
30968 3237 935
129720 1 231
74934 1 894
18854 4 859
313969 625 347
197883 1 652
233990 43 605
35469 1 1009
119564 1844 674
35660 1 246
6163 1 710
