BC_ID BC_Counts Mut_ID
127010 3 625
73463 87 74
4026 1540 48
239041 2623 85
131111 1107 534
21233 1 906
23446 2 651
117673 1542 522
23444 25 742
193358 2 619
5982 683 775
187888 1 959
10891 1963 799
55299 2 434
22262 544 20
19377 1 877
52269 17 651
96555 2 757
25069 1708 802
127490 15 856
60353 189 981
223324 1 1002
113017 1 802
130468 1 366
6794 1265 892
88718 774 763
135031 77 119
270722 1 618
56129 1 47
294 41 149
69887 3 362
17650 36 954
323453 1 638
63735 1085 390
117526 14 684
4657 3049 423
55835 1 159
231268 1 718
55833 4 855
276 3 149
61999 1 852
43981 1 935
279 580 109
17387 3 309
142960 1 50
22484 663 453
20295 2 76
43698 1 333
158540 346 132
12011 153 718
312970 1858 456
16385 49 439
69721 2 411
81620 38 349
64678 14 148
17032 998 226
64299 1 486
46793 217 1014
21619 2 302
49320 1 445
102 65 488
49561 1051 566
107 2 212
39062 1333 756
16819 182 55
125888 2 423
185917 25 423
85186 714 1004
102448 2 59
9411 36 500
57076 777 930
11611 1218 159
45444 486 874
45666 1 534
20521 508 898
204062 2 254
204061 78 456
33474 1071 742
41343 480 757
182063 3805 235
5116 1691 886
24082 262 97
139933 1 147
21631 1416 185
17721 1322 80
54952 4198 381
116124 38 372
142027 61 1007
54955 429 159
8949 993 718
3510 1283 628
53288 3 243
2689 273 605
84058 2543 9
36027 70 717
59613 40 124
26976 132 958
203384 32 767
6805 1 639
99 1 810
294034 241 564
20415 1128 47
95 1118 710
90462 2 733
219159 2 926
1627 170 192
30414 1 302
1998 2 652
1629 2 1012
14681 2 800
33679 47 115
112558 1 815
112227 15 209
33853 92 48
59927 976 113
132348 703 903
58455 3 853
80806 2 829
5409 21 813
59108 1037 412
151630 1 802
52618 1 1004
29561 2160 423
37178 2987 692
147277 1796 439
37776 5 446
37957 276 213
37959 515 729
1756 287 769
1176 1 162
319468 1 623
15444 1 405
8167 3827 153
8164 1 445
76574 12 75
76576 56 302
18148 1572 1002
44701 1572 625
5537 884 32
76084 678 670
272574 2 924
1287 1 546
225276 44 596
11167 11 247
5102 1 71
94495 1 780
29100 1 201
682 240 474
189219 395 390
229429 1362 138
8386 1679 536
73651 28 245
184539 2 903
8548 1 109
8545 151 805
77687 2 768
15282 921 960
55110 1 426
4389 349 534
55115 1296 647
87336 5 149
116554 1 461
95948 37 278
6579 35 401
1370 1 976
73721 25 1014
34154 1 597
145925 162 213
25942 1231 403
28387 2 133
3830 42 906
3833 372 34
214400 2 965
31911 1 175
72413 7 233
155391 1 252
4036 723 8
78847 73 85
78843 1 366
28989 75 247
51278 776 439
36681 4 690
379 750 111
91517 1 7
91841 2165 639
55025 1069 981
6532 1 964
60928 4 313
103379 483 256
182591 1152 9
304554 321 819
56220 3 727
89033 341 584
259617 1 353
35440 7141 423
88639 2146 896
55226 2 1001
10979 268 764
52926 1 367
4723 7 807
31903 1 421
5846 1 830
5844 39 353
165832 3 729
57261 838 969
117240 1 353
13536 1 962
182286 2259 476
56407 527 625
11757 1486 573
194078 1 947
64597 96 582
12007 2 124
12000 1291 1012
69748 2866 41
205632 91 692
178753 1 423
198789 1 177
9241 207 111
122602 2 954
40965 1 343
38423 420 475
149136 2 599
150610 1 235
154071 1 453
150618 810 138
80107 79 442
70558 1 214
185671 2 309
29154 37 727
4532 1186 1012
34955 2 67
21930 929 34
11627 2 536
9044 1 9
12136 53 977
140422 1182 412
57317 2183 217
9336 1 113
48559 1095 426
317739 1 585
10158 772 395
9290 1 819
54564 1 456
124436 225 520
313423 1 175
37372 399 569
22805 1086 886
10395 519 623
81962 1430 700
