BC ID	MUT ID	STRAIN	ENV	DAY	T0	T1	T2	T3	T4
24170	962	DivAnc	SC3	1	193	1040	546	551	799
24172	198	DivAnc	SC3	1	0	1	2	1	0
24235	1012	DivAnc	SC3	1	3	1	0	1	1
24254	965	DivAnc	SC3	1	372	2016	1415	1963	2890
24279	617	DivAnc	SC3	1	303	1173	722	837	773
24304	213	DivAnc	SC3	1	180	1278	614	935	884
24309	395	DivAnc	SC3	1	47	49	40	32	26
24322	217	DivAnc	SC3	1	49	501	251	390	426
24341	998	DivAnc	SC3	1	22	13	15	28	7
24392	597	DivAnc	SC3	1	2	0	0	0	0
24454	480	DivAnc	SC3	1	0	1	0	0	0
24471	886	DivAnc	SC3	1	0	4	0	0	0
24499	104	DivAnc	SC3	1	207	1090	642	979	1025
24504	996	DivAnc	SC3	1	2	1	1	2	2
24563	148	DivAnc	SC3	1	6	3	3	6	1
24714	985	DivAnc	SC3	1	1	1	0	1	0
24732	628	DivAnc	SC3	1	202	796	352	369	279
24845	628	DivAnc	SC3	1	143	807	444	601	912
24858	716	DivAnc	SC3	1	7	7	4	3	3
24975	929	DivAnc	SC3	1	0	1	0	0	0
25017	984	DivAnc	SC3	1	1	1	1	1	2
25033	816	DivAnc	SC3	1	6	3	2	4	1
25069	802	DivAnc	SC3	1	368	1672	1013	1357	1377
25202	261	DivAnc	SC3	1	464	2499	1595	2391	2772
25354	423	DivAnc	SC3	1	1063	4159	2431	3272	2961
25361	34	DivAnc	SC3	1	421	2343	1435	2164	2222
25390	185	DivAnc	SC3	1	25	29	26	33	11
25424	902	DivAnc	SC3	1	6	0	1	0	0
25491	536	DivAnc	SC3	1	9	7	5	7	3
25498	52	DivAnc	SC3	1	136	505	225	175	127
25630	1002	DivAnc	SC3	1	60	72	68	65	33
25718	423	DivAnc	SC3	1	1400	6073	3420	4531	4578
25742	648	DivAnc	SC3	1	1	0	1	1	0
25825	800	DivAnc	SC3	1	456	1976	1328	2153	3000
25925	886	DivAnc	SC3	1	1	1	0	1	2
25942	403	DivAnc	SC3	1	268	1476	763	928	861
26037	433	DivAnc	SC3	1	35	38	36	34	18
26051	596	DivAnc	SC3	1	7	8	11	7	4
26054	19	DivAnc	SC3	1	1	1	1	0	0
26210	60	DivAnc	SC3	1	293	1279	682	1074	1047
26256	613	DivAnc	SC3	1	50	56	51	62	25
26269	423	DivAnc	SC3	1	1235	5200	2974	3947	4660
26298	956	DivAnc	SC3	1	215	1312	763	1030	1067
26773	212	DivAnc	SC3	1	53	121	164	209	134
26893	138	DivAnc	SC3	1	78	71	77	82	27
26898	1001	DivAnc	SC3	1	85	85	87	97	52
26906	19	DivAnc	SC3	1	227	239	235	247	123
26947	766	DivAnc	SC3	1	92	295	91	94	273
26976	958	DivAnc	SC3	1	124	139	132	125	68
