"","BC_ID","Gen_0","Strain","Environment"
"459",9035,-5.43007908873,"DivAnc","1_SC3"
"460",9038,-5.73110908439,"DivAnc","1_SC3"
"461",9056,-3.03826216512,"DivAnc","1_SC3"
"462",9063,-5.73110908439,"DivAnc","1_SC3"
"463",9117,-5.73110908439,"DivAnc","1_SC3"
"464",9154,-3.18580196793,"DivAnc","1_SC3"
"465",9164,-5.73110908439,"DivAnc","1_SC3"
"466",9200,-5.43007908873,"DivAnc","1_SC3"
"467",9241,-3.7398830087,"DivAnc","1_SC3"
"468",9295,-5.43007908873,"DivAnc","1_SC3"
"469",9322,-5.43007908873,"DivAnc","1_SC3"
"470",9341,-5.25398782967,"DivAnc","1_SC3"
"471",9353,-5.73110908439,"DivAnc","1_SC3"
"472",9379,-4.68971639923,"DivAnc","1_SC3"
"473",9411,-4.04091300436,"DivAnc","1_SC3"
"474",9422,-5.25398782967,"DivAnc","1_SC3"
"475",9481,-4.8280190974,"DivAnc","1_SC3"
"476",9490,-3.07886274339,"DivAnc","1_SC3"
"477",9543,-5.73110908439,"DivAnc","1_SC3"
"478",9583,-5.43007908873,"DivAnc","1_SC3"
"479",9619,-5.73110908439,"DivAnc","1_SC3"
"480",9620,-3.82262406551,"DivAnc","1_SC3"
"481",9744,-5.25398782967,"DivAnc","1_SC3"
"482",9773,-5.25398782967,"DivAnc","1_SC3"
"483",9800,-5.73110908439,"DivAnc","1_SC3"
"484",9802,-3.80682979833,"DivAnc","1_SC3"
"485",9804,-5.12904909306,"DivAnc","1_SC3"
"486",9805,-5.43007908873,"DivAnc","1_SC3"
"487",9808,-5.73110908439,"DivAnc","1_SC3"
"488",9816,-3.3111533359,"DivAnc","1_SC3"
"489",9834,-4.15132548778,"DivAnc","1_SC3"
"490",9861,-4.23974739056,"DivAnc","1_SC3"
"491",9969,-3.07886274339,"DivAnc","1_SC3"
"492",9987,-3.93176853494,"DivAnc","1_SC3"
"493",10037,-3.12258305082,"DivAnc","1_SC3"
"494",10102,-5.73110908439,"DivAnc","1_SC3"
"495",10152,-5.43007908873,"DivAnc","1_SC3"
"496",10158,-3.35636073838,"DivAnc","1_SC3"
"497",10165,-3.11832522767,"DivAnc","1_SC3"
"498",10236,-4.26871108649,"DivAnc","1_SC3"
"499",10256,-3.0356274079,"DivAnc","1_SC3"
