BC_ID BC_Counts Mut_ID
23990 1 886
73463 67 74
268076 1 213
4026 607 48
239041 952 85
131111 289 534
144336 1 996
263633 1 347
23446 16 651
117673 610 522
23444 51 742
82103 1 195
5982 343 775
64036 1 887
10891 626 799
55299 1 434
22262 236 20
24714 1 985
32837 5 628
7518 2 159
52269 12 651
25069 564 802
130134 1 48
74359 1 729
127490 64 856
60353 43 981
130468 1 366
6794 466 892
88718 229 763
135031 69 119
294 112 149
17650 47 954
63735 352 390
117526 8 684
100941 1 85
4657 914 423
55835 2 159
55833 39 855
276 28 149
43981 1 935
279 194 109
22484 235 453
140326 1 252
43698 1 333
158540 134 132
12011 59 718
312970 571 456
16385 63 439
69721 1 411
81620 24 349
64678 11 148
97886 2 456
17032 351 226
64299 2 486
76127 1 233
57477 1 149
46793 163 1014
8094 2 35
102 89 488
49561 367 566
107 1 212
4148 458 159
16819 113 55
333 1 512
251174 1 809
2510 1 884
185917 36 423
85186 225 1004
102448 2 59
9411 49 500
64905 9 481
57076 246 930
11611 324 159
45444 193 874
85430 1 912
10633 8 695
294543 1 85
20521 308 898
19394 1 174
204062 1 254
204061 66 456
58677 1 428
125409 1 898
33474 340 742
41343 147 757
182063 1156 235
9322 2 311
24082 138 97
17721 390 80
17722 2 767
139936 1 162
54952 984 381
116124 27 372
142027 41 1007
54955 159 159
8949 343 718
3510 746 628
53288 1 243
2689 150 605
84058 501 9
6203 1 389
36027 102 717
102158 53 353
122542 1 618
26976 125 958
203384 32 767
9744 3 704
294034 46 564
71572 352 423
20415 391 47
95 414 710
219159 6 926
1627 136 192
30414 3 302
1998 1 652
1629 3 1012
14681 1 800
193917 2 48
33679 50 115
112558 2 815
112227 5 209
8832 1 449
33853 73 48
275344 3 785
59927 369 113
132348 220 903
33697 1 657
80806 1 829
5409 16 813
59108 400 412
24235 3 1012
29561 776 423
37178 743 692
147277 586 439
115335 1 829
37957 172 213
37959 267 729
29764 491 809
1175 9 97
8167 1069 153
8164 1 445
76574 16 75
76576 30 302
18148 449 1002
44701 479 625
5537 285 32
76084 191 670
18146 1 254
225276 39 596
110836 11 190
11167 11 247
83726 1 383
94495 1 780
682 202 474
189219 95 390
229429 473 138
8386 494 536
73651 22 245
22955 28 813
8545 131 805
15282 358 960
55110 1 426
4389 238 534
55115 452 647
87336 8 149
95948 47 278
6579 128 401
4386 1 432
87807 2 271
406 2 376
73721 24 1014
34154 1 597
18805 3 1002
145925 64 213
63864 2 859
25942 385 403
31547 1 652
3830 82 906
3833 117 34
214400 8 965
145748 298 330
72413 3 233
4036 400 8
78847 75 85
307680 1 173
198789 1 177
28989 59 247
51278 218 439
77281 4 308
379 194 111
91841 510 639
55025 403 981
6532 1 964
19412 1 597
181571 159 50
182591 265 9
75530 1 366
26443 1 647
304554 124 819
70988 1 99
35440 2644 423
130898 2 280
88639 667 896
23877 1 886
6784 1 623
274835 1 20
10979 78 764
4723 14 807
31903 1 421
5844 97 353
222798 2 648
177103 1 622
165832 2 729
57261 410 969
41828 1 763
117240 1 353
32006 3 780
182286 531 476
56407 197 625
11757 408 573
2270 1 918
64597 68 582
37683 1 597
12000 410 1012
69748 809 41
166582 1 316
205632 76 692
178753 1 423
9241 98 111
122602 3 954
38423 242 475
149136 5 599
150610 1 235
3597 1 473
154071 6 453
17999 2 265
80107 88 442
4829 1 547
185671 3 309
29154 34 727
4532 586 1012
21930 288 34
11625 1 151
140426 2 772
294550 1 639
270722 4 618
140422 338 412
10152 2 639
57317 697 217
48559 324 426
317739 2 585
10158 237 395
54564 1 456
124436 90 520
37372 215 569
22805 446 886
10395 291 623
81962 425 700
49312 1 885
46870 42 1012
9620 81 205
37786 10 209
49315 51 149
45783 193 715
16251 1 173
99 1 810
63874 2 768
320516 113 517
1603 1 85
2691 190 202
25449 1 1002
15708 4 807
15709 23 279
54980 75 935
137077 388 34
179621 1 412
53509 267 993
216496 2 461
265815 1 800
319376 1 431
302744 5 258
3231 1833 423
131829 566 845
1618 419 639
1965 5 846
268602 1 414
7329 574 48
168852 1 625
210433 352 423
8840 406 195
147993 1 423
41596 83 369
41772 76 393
12957 541 864
68904 2 1009
70906 1 431
20261 18 157
168691 74 205
302243 371 800
3358 167 912
58683 167 88
7061 8 975
29778 474 766
169616 234 732
29596 78 326
1143 363 71
233931 1 118
12487 1 519
12485 1393 423
231479 100 745
253044 2 969
37295 342 729
119329 63 638
12925 149 555
5503 121 381
27607 20 924
1547 2 254
1545 2 97
24392 2 597
39586 199 809
34098 304 639
187640 422 423
38294 299 445
78127 4 374
233341 333 773
66370 1 1000
313378 1 792
31753 194 506
96652 47 195
145596 6 544
188605 4 177
77562 303 461
64178 1 780
66402 1 434
48944 98 292
48942 1 201
9987 63 226
230679 317 484
61758 905 177
44802 3 622
119034 1 587
192306 623 717
414 1 169
126670 40 896
151390 1 974
411 497 296
73713 11 695
5715 196 180
94401 2 802
3827 1 71
114055 474 956
114054 1 440
154709 1 853
311033 3 423
82425 3 757
10334 2 983
188286 75 573
66883 2 87
93239 1 165
35325 227 381
10702 1 993
32813 356 866
35329 3 66
7537 266 732
61359 1 353
7533 177 439
224131 1 612
55257 1 968
19350 1 261
140112 202 211
65211 410 177
60338 3 89
16653 398 996
387 792 266
388 166 26
74037 1 456
110377 140 2
