STRAIN	BC_ID	MU_ID	ENV	gen_0	gen_10	gen_20	gen_30	gen_40
DivAnc	72369	476	1_SC3	119	719	314	636	423
DivAnc	258436	7	1_SC3	2	0	0	0	0
DivAnc	8738	589	1_SC3	1	0	0	0	0
DivAnc	35730	20	1_SC3	427	2315	1195	2781	2128
DivAnc	31470	71	1_SC3	1	13	6	3	0
DivAnc	66879	85	1_SC3	1	0	0	0	0
DivAnc	28900	552	1_SC3	1	4	2	22	7
DivAnc	5753	618	1_SC3	341	2082	942	1824	1544
DivAnc	132412	816	1_SC3	2	2	0	0	0
DivAnc	30905	996	1_SC3	257	1400	753	1513	1148
DivAnc	15353	924	1_SC3	159	877	456	848	726
DivAnc	67876	732	1_SC3	66	383	166	268	116
DivAnc	13926	536	1_SC3	1	14	6	33	12
DivAnc	4235	133	1_SC3	72	409	207	454	309
DivAnc	24789	1001	1_SC3	2	13	3	8	8
DivAnc	6449	169	1_SC3	28	131	80	214	211
DivAnc	15193	780	1_SC3	293	1858	795	1612	1211
DivAnc	28637	518	1_SC3	1	4	0	0	0
DivAnc	50567	976	1_SC3	380	2459	1235	2611	2203
DivAnc	129924	612	1_SC3	286	1537	704	1271	905
DivAnc	91604	83	1_SC3	89	470	229	559	503
DivAnc	245704	333	1_SC3	1	5	8	15	12
DivAnc	151016	70	1_SC3	1	2	0	0	0
DivAnc	127429	981	1_SC3	261	1431	623	1110	951
DivAnc	72564	710	1_SC3	73	511	205	359	283
DivAnc	13690	830	1_SC3	270	1816	1004	1834	1449
DivAnc	131811	907	1_SC3	614	3429	1833	3741	2920
DivAnc	55737	705	1_SC3	535	3158	1691	3053	2400
DivAnc	55731	118	1_SC3	275	1609	777	1724	1263
DivAnc	13699	596	1_SC3	23	235	148	309	197
DivAnc	32883	60	1_SC3	29	186	145	213	137
DivAnc	72764	95	1_SC3	9	30	12	44	14
DivAnc	148032	956	1_SC3	226	1215	634	1351	1056
DivAnc	73965	433	1_SC3	129	700	349	737	493
DivAnc	27788	252	1_SC3	592	3287	1653	3531	2650
DivAnc	7436	628	1_SC3	1	14	7	23	24
DivAnc	102893	91	1_SC3	1	3	2	0	0
DivAnc	22361	836	1_SC3	124	524	281	621	571
DivAnc	110097	787	1_SC3	37	183	82	154	80
DivAnc	5683	75	1_SC3	2	19	5	10	22
DivAnc	215990	12	1_SC3	1	5	0	0	0
DivAnc	55558	804	1_SC3	1	0	0	0	0
DivAnc	253789	213	1_SC3	594	3359	1740	3890	2957
DivAnc	4192	529	1_SC3	59	383	182	264	248
DivAnc	266348	36	1_SC3	1	8	5	15	12
DivAnc	292760	80	1_SC3	535	3126	1594	2918	2180
DivAnc	119723	938	1_SC3	25	120	85	130	74
DivAnc	23417	1013	1_SC3	19	83	22	44	36
DivAnc	120592	392	1_SC3	1	0	0	0	0
DivAnc	110071	125	1_SC3	25	146	69	80	25
DivAnc	259214	34	1_SC3	430	2615	1403	2847	2317
DivAnc	125956	209	1_SC3	298	1592	833	1798	1418
DivAnc	100087	577	1_SC3	1	4	0	0	0
DivAnc	77424	456	1_SC3	1	0	0	0	0
DivAnc	4058	950	1_SC3	8	33	40	97	53
DivAnc	145183	279	1_SC3	62	318	185	318	250
DivAnc	12347	739	1_SC3	1	16	11	25	10
DivAnc	51966	80	1_SC3	452	2384	1401	2800	2032
DivAnc	21045	680	1_SC3	529	3340	1567	3148	2446
DivAnc	60527	116	1_SC3	1	0	0	0	0
DivAnc	3617	4	1_SC3	1	0	0	0	0
DivAnc	120242	347	1_SC3	299	1624	786	1413	1242
DivAnc	121311	574	1_SC3	5	37	1	0	0
DivAnc	119806	912	1_SC3	1	4	6	0	0
DivAnc	19696	261	1_SC3	1	0	0	0	0
DivAnc	32370	772	1_SC3	23	150	68	184	179
DivAnc	25033	816	1_SC3	6	39	17	79	46
DivAnc	166346	886	1_SC3	120	730	259	501	406
DivAnc	166347	50	1_SC3	204	1217	569	1284	927
DivAnc	2567	14	1_SC3	402	2524	1338	2789	2163
DivAnc	220357	802	1_SC3	1	0	0	0	0
DivAnc	2367	657	1_SC3	7	24	23	27	52
DivAnc	135043	6	1_SC3	1	0	0	0	0
DivAnc	7291	34	1_SC3	447	2520	1165	2600	1944
DivAnc	49667	804	1_SC3	2	0	0	0	0
DivAnc	7297	536	1_SC3	1	1	3	20	10
DivAnc	54989	100	1_SC3	1	22	16	22	3
DivAnc	99348	423	1_SC3	5	10	1	0	0
DivAnc	46368	979	1_SC3	1	25	6	10	17
DivAnc	5026	85	1_SC3	1	5	0	0	0
DivAnc	118252	149	1_SC3	98	527	216	507	383
DivAnc	3728	132	1_SC3	1	0	0	0	0
DivAnc	26256	613	1_SC3	50	324	196	410	365
DivAnc	36097	921	1_SC3	214	1216	668	1386	1135
DivAnc	71688	387	1_SC3	3	3	0	0	0
DivAnc	122969	326	1_SC3	2	0	0	0	0
DivAnc	162426	757	1_SC3	5	14	15	4	4
DivAnc	4933	353	1_SC3	14	43	26	76	52
DivAnc	960	620	1_SC3	376	2608	1159	2344	1755
DivAnc	139347	896	1_SC3	366	2068	1119	2250	1854
DivAnc	6296	461	1_SC3	54	239	145	320	275
DivAnc	36251	428	1_SC3	1	0	0	0	0
DivAnc	4688	362	1_SC3	1	10	14	33	21
DivAnc	69725	173	1_SC3	21	173	73	114	104
DivAnc	6059	188	1_SC3	2	9	3	0	0
DivAnc	250309	347	1_SC3	307	2030	957	2103	1579
DivAnc	43626	83	1_SC3	329	1989	970	1783	1440
DivAnc	2100	892	1_SC3	329	2018	1097	2036	1561
DivAnc	42089	930	1_SC3	528	3237	1627	3591	2643
DivAnc	152744	866	1_SC3	2	4	0	0	0
DivAnc	87266	326	1_SC3	311	2097	1005	2115	1697
DivAnc	5116	886	1_SC3	583	3229	1571	2951	2325
DivAnc	2635	815	1_SC3	351	1855	942	1701	1366
DivAnc	2636	534	1_SC3	1	4	3	4	4
DivAnc	153349	456	1_SC3	2	10	0	0	0
DivAnc	37475	988	1_SC3	2	9	6	20	8
DivAnc	136498	109	1_SC3	17	113	42	88	112
DivAnc	198837	112	1_SC3	1	8	7	11	10
DivAnc	79844	138	1_SC3	14	78	45	49	28
DivAnc	118898	829	1_SC3	336	2085	1068	2090	1651
DivAnc	79840	60	1_SC3	376	2272	1110	2138	1434
DivAnc	179025	843	1_SC3	395	2347	1133	2305	1684
DivAnc	162512	969	1_SC3	151	831	460	1075	945
DivAnc	4590	830	1_SC3	2	14	5	7	10
DivAnc	2034	34	1_SC3	7	45	50	113	66
DivAnc	2033	47	1_SC3	554	3153	1544	3213	2615
DivAnc	49395	132	1_SC3	434	2537	1226	2573	2037
DivAnc	42669	521	1_SC3	17	128	57	173	67
DivAnc	42884	692	1_SC3	430	2435	1189	2394	2020
DivAnc	4843	1000	1_SC3	3	5	10	4	2
DivAnc	317000	191	1_SC3	17	96	22	30	23
DivAnc	264901	279	1_SC3	325	1632	750	1543	1211
DivAnc	14904	628	1_SC3	1	0	0	0	0
DivAnc	33336	547	1_SC3	1	0	0	0	0
DivAnc	170060	921	1_SC3	109	713	374	723	537
DivAnc	63175	813	1_SC3	1	17	14	0	0
DivAnc	155805	192	1_SC3	2	12	0	0	0
DivAnc	99014	852	1_SC3	4	31	2	0	0
DivAnc	21423	421	1_SC3	80	430	180	364	240
DivAnc	3545	83	1_SC3	1	10	0	0	0
DivAnc	71217	356	1_SC3	1	13	13	0	0
DivAnc	83516	47	1_SC3	3	8	6	8	0
DivAnc	3234	997	1_SC3	1	0	0	0	0
DivAnc	113440	926	1_SC3	1	1	5	5	1
DivAnc	175264	186	1_SC3	1	0	0	0	0
DivAnc	168929	309	1_SC3	1	0	0	0	0
DivAnc	24074	704	1_SC3	3	0	0	0	0
DivAnc	37277	686	1_SC3	21	121	40	88	36
DivAnc	36077	47	1_SC3	4	10	2	32	24
DivAnc	32025	757	1_SC3	1	0	0	0	0
DivAnc	36073	52	1_SC3	166	780	351	817	666
DivAnc	65595	309	1_SC3	207	900	450	960	683
DivAnc	285701	14	1_SC3	2	31	4	23	24
DivAnc	85087	119	1_SC3	2	6	0	0	0
DivAnc	15168	790	1_SC3	182	936	592	1253	1077
DivAnc	2964	969	1_SC3	1	0	0	0	0
DivAnc	2967	657	1_SC3	1	4	4	0	0
DivAnc	2966	677	1_SC3	149	851	393	794	574
