BC ID	MUT ID	STRAIN	ENV	DAY	T0	T1	T2	T3	T4
5097	764	DivAnc	SC3	1	6	9	10	9	6
5116	886	DivAnc	SC3	1	419	1773	1019	1490	1578
5171	1007	DivAnc	SC3	1	492	2154	1182	1645	1997
5211	1014	DivAnc	SC3	1	40	108	42	29	2
5265	423	DivAnc	SC3	1	463	2273	1238	1798	1916
5266	981	DivAnc	SC3	1	5	1	0	2	1
5296	577	DivAnc	SC3	1	2	1	0	0	1
5298	968	DivAnc	SC3	1	177	954	329	651	605
5307	437	DivAnc	SC3	1	60	230	79	139	270
5388	441	DivAnc	SC3	1	0	3	5	3	1
5403	657	DivAnc	SC3	1	346	1662	616	734	775
5409	813	DivAnc	SC3	1	16	12	21	26	11
